,target,source,Similarity
0,50011 NO SMILE CLOSE UP 6.30.18.JPG,50011 NO SMILE CLOSE UP 6.30.18.JPG,100.0
1,50012 NO SMILE CLOSE UP 6.30.18.JPG,50012 NO SMILE CLOSE UP 6.30.18.JPG,100.0
2,50021 Close No smile.JPG,50021 Close No smile.JPG,100.0
3,50022 CLOSE UP SERIOUS 7.20.17.JPG,50022 CLOSE UP SERIOUS 7.20.17.JPG,100.0
4,50031 NO SMILE CLOSE UP 8.28.17.JPG,50031 NO SMILE CLOSE UP 8.28.17.JPG,100.0
5,50032 SERIOUS 8.7.17.JPG,50032 SERIOUS 8.7.17.JPG,100.0
6,50061 NO SMILE BUST 8.31.17.JPG,50061 NO SMILE BUST 8.31.17.JPG,100.0
7,50062 NO SMILE BUST 8.31.17.JPG,50062 NO SMILE BUST 8.31.17.JPG,100.0
8,50071 NO SMILE CLOSE UP 9.11.17.JPG,50071 NO SMILE CLOSE UP 9.11.17.JPG,100.0
9,50072 NO SMILE CLOSE UP 9.11.17.JPG,50072 NO SMILE CLOSE UP 9.11.17.JPG,100.0
10,50081 NO SMILE CLOSE UP 11.20.17.JPG,50081 NO SMILE CLOSE UP 11.20.17.JPG,100.0
11,50082 NO SMILE CLOSE UP 10.2.17.JPG,50082 NO SMILE CLOSE UP 10.2.17.JPG,100.0
12,50091 NO SMILE CLOSE UP 9.18.17.JPG,50091 NO SMILE CLOSE UP 9.18.17.JPG,100.0
13,50092 NO SMILE CLOSE UP 9.11.2017.JPG,50092 NO SMILE CLOSE UP 9.11.2017.JPG,100.0
14,50101 NO SMILE CLOSE UP 9.17.17.JPG,50101 NO SMILE CLOSE UP 9.17.17.JPG,100.0
15,50102 NO SMILE CLOSE UP 9.20.17.JPG,50102 NO SMILE CLOSE UP 9.20.17.JPG,100.0
16,50131 NO SMILE CLOSE UP 10.01.17.JPG,50131 NO SMILE CLOSE UP 10.01.17.JPG,100.0
17,50132 NO SMILE CLOSE UP 10.01.17.JPG,50132 NO SMILE CLOSE UP 10.01.17.JPG,100.0
