,0,1,2,3,4,5,6,7,8,9
ID,50221 NO SMILE CLOSE UP 1.10.18.JPG,50232 NO SMILE CLOSE UP 11.29.2017.JPG,50492 NO SMILE CLOSE UP 4.7.18.JPG,50521 NO SMILE CLOSE UP 06.17.2018.JPG,50651 NO SMILE CLOSE UP 3.21.18.JPG,50671 NO SMILE CLOSE UP 3.24.18.JPG,51781 CLOSE UP NO SMILE 4.18.19.JPG,51801 NO SMILE CLOSE UP 05.22.2019.JPG,52171 NO SMILE CLOSE UP 7.2.19.JPG,52182 NO SMILE CLOSE UP 7.01.19.JPG
ChinBottom,"[-0.008646011352539062, 0.1736203134059906]","[0.006072580814361572, 0.16503232717514038]","[0.012020647525787354, 0.12197297811508179]","[-0.006572753190994263, 0.16179049015045166]","[-0.005625367164611816, 0.1747508943080902]","[-0.013089239597320557, 0.21452152729034424]","[-0.005001425743103027, 0.17150616645812988]","[0.00768202543258667, 0.15049239993095398]","[-0.0013457536697387695, 0.13889014720916748]","[0.0024270713329315186, 0.12336856126785278]"
LeftEyeDown,"[-0.0986429750919342, -0.07742971181869507]","[-0.04844626784324646, -0.06539702415466309]","[-0.07499486207962036, -0.04710128903388977]","[-0.046675682067871094, -0.06067115068435669]","[-0.05311736464500427, -0.0794532299041748]","[-0.06404045224189758, -0.08985304832458496]","[-0.0485040545463562, -0.0539642870426178]","[-0.04854971170425415, -0.061334311962127686]","[-0.04101589322090149, -0.0486120879650116]","[-0.03562265634536743, -0.04184596240520477]"
LeftEyeLeft,"[-0.13343915343284607, -0.08518454432487488]","[-0.0659138560295105, -0.07093524932861328]","[-0.09979811310768127, -0.05045318603515625]","[-0.06331953406333923, -0.06659501791000366]","[-0.07243844866752625, -0.0878496766090393]","[-0.08798271417617798, -0.10000869631767273]","[-0.06619033217430115, -0.05867353081703186]","[-0.06570768356323242, -0.06641805171966553]","[-0.05562877655029297, -0.05284994840621948]","[-0.04858967661857605, -0.04524804651737213]"
LeftEyeRight,"[-0.06287875771522522, -0.08264204859733582]","[-0.029974818229675293, -0.07119293510913849]","[-0.05056425929069519, -0.052527666091918945]","[-0.029485464096069336, -0.06443282961845398]","[-0.03274533152580261, -0.08404338359832764]","[-0.03849482536315918, -0.09370893239974976]","[-0.03000470995903015, -0.05794431269168854]","[-0.03068089485168457, -0.06724721193313599]","[-0.025894075632095337, -0.052470654249191284]","[-0.02191317081451416, -0.04558710753917694]"
LeftEyeUp,"[-0.09969630837440491, -0.09117665886878967]","[-0.04955029487609863, -0.0781773030757904]","[-0.07708737254142761, -0.05658477544784546]","[-0.04704168438911438, -0.07299870252609253]","[-0.053560107946395874, -0.09331059455871582]","[-0.06417542695999146, -0.10630208253860474]","[-0.04896542429924011, -0.06651298701763153]","[-0.04977107048034668, -0.07303202152252197]","[-0.04160049557685852, -0.059042900800704956]","[-0.036311954259872437, -0.05104711651802063]"
LeftEyebrowLeft,"[-0.17485564947128296, -0.11961781978607178]","[-0.08758166432380676, -0.1009448766708374]","[-0.1317458152770996, -0.07186585664749146]","[-0.08290725946426392, -0.09589554369449615]","[-0.09507718682289124, -0.1231628954410553]","[-0.11522418260574341, -0.1420445442199707]","[-0.08704325556755066, -0.08690565824508667]","[-0.08722582459449768, -0.09402921795845032]","[-0.0732336938381195, -0.07679197192192078]","[-0.06441375613212585, -0.06600341200828552]"
LeftEyebrowRight,"[-0.05845177173614502, -0.12762582302093506]","[-0.03104346990585327, -0.11415320634841919]","[-0.05236402153968811, -0.08435225486755371]","[-0.026800066232681274, -0.1076783835887909]","[-0.030260562896728516, -0.12944450974464417]","[-0.03413271903991699, -0.14832726120948792]","[-0.02787041664123535, -0.10301117599010468]","[-0.032085120677948, -0.10546961426734924]","[-0.02484723925590515, -0.08905243873596191]","[-0.022169768810272217, -0.07780347764492035]"
LeftEyebrowUp,"[-0.11527055501937866, -0.13617205619812012]","[-0.05961710214614868, -0.1197890192270279]","[-0.0924341082572937, -0.0870220959186554]","[-0.05411306023597717, -0.11386847496032715]","[-0.06193527579307556, -0.1388319432735443]","[-0.0730867087841034, -0.16134166717529297]","[-0.05676344037055969, -0.10845668613910675]","[-0.05996045470237732, -0.1109015941619873]","[-0.04869931936264038, -0.09350481629371643]","[-0.04330506920814514, -0.08135925233364105]"
LeftPupil,"[-0.09979882836341858, -0.08327680826187134]","[-0.04938653111457825, -0.07025296986103058]","[-0.07641127705574036, -0.051179856061935425]","[-0.046999454498291016, -0.06598097085952759]","[-0.05363142490386963, -0.0856524109840393]","[-0.0653802752494812, -0.09607839584350586]","[-0.04947620630264282, -0.058287426829338074]","[-0.04970210790634155, -0.06570801138877869]","[-0.041697174310684204, -0.052683353424072266]","[-0.036480724811553955, -0.04529881477355957]"
